MSSubClass,LotFrontage,LotArea,OverallQual,OverallCond,YearBuilt,YearRemodAdd,MasVnrArea,BsmtFinSF1,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,TotRmsAbvGrd,Fireplaces,GarageYrBlt,GarageCars,GarageArea,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,MiscVal,MoSold,YrSold,SalePrice
0.2352941176470588,0.20766773162939295,0.06280248399195425,0.625,0.4285714285714285,0.9534883720930232,0.8833333333333329,0.1225,0.41627358490566035,0.0,0.07072135785007072,0.26699937616968183,0.20038350910834132,0.5301055245189323,0.0,0.46153846153846156,0.3333333333333333,0.0,0.6666666666666666,0.5,0.5,0.0,0.5555555555555556,0.0,0.9965174129353234,0.5,0.3942446043165468,0.0,0.1675824175824176,0.0,0.0,0.0,0.0,0.0,0.09090909090909091,0.5,0.4030566293295849
0.0,0.25559105431309903,0.072903582815835,0.5,0.8571428571428571,0.7441860465116292,0.43333333333333,0.0,0.5766509433962264,0.0,0.1338991041961339,0.3936369307548347,0.39501438159156277,0.0,0.0,0.29898403483309144,0.0,0.5,0.6666666666666666,0.0,0.5,0.0,0.3333333333333333,0.3333333333333333,0.9830845771144278,0.5,0.33093525179856115,0.40489130434782605,0.0,0.0,0.0,0.0,0.0,0.0,0.36363636363636365,0.25,0.34022048504848856
0.2352941176470588,0.21725239616613418,0.08739646373705522,0.625,0.4285714285714285,0.9379844961240309,0.8666666666666671,0.10125,0.2865566037735849,0.0,0.20462046204620463,0.28696194635059263,0.2310642377756472,0.5375543140906269,0.0,0.4891146589259797,0.3333333333333333,0.0,0.6666666666666666,0.5,0.5,0.0,0.3333333333333333,0.3333333333333333,0.9955223880597014,0.5,0.4374100719424461,0.0,0.11538461538461539,0.0,0.0,0.0,0.0,0.0,0.7272727272727273,0.5,0.43796559837463844
0.2941176470588235,0.19169329073482427,0.07246440460610105,0.625,0.4285714285714285,0.2713178294573648,0.3333333333333357,0.0,0.12735849056603774,0.0,0.2545968882602546,0.23580786026200873,0.25071907957814,0.4692737430167598,0.0,0.46407837445573297,0.3333333333333333,0.0,0.3333333333333333,0.0,0.5,0.0,0.44444444444444436,0.3333333333333333,0.9940298507462686,0.75,0.46187050359712234,0.0,0.09615384615384616,0.8242424242424242,0.0,0.0,0.0,0.0,0.09090909090909091,0.0,0.24363900402384053
0.2352941176470588,0.268370607028754,0.11383499196303877,0.75,0.4285714285714285,0.9302325581395348,0.8333333333333357,0.21875,0.38620283018867924,0.0,0.23102310231023102,0.35714285714285715,0.3389261744966443,0.6536312849162011,0.0,0.6386066763425254,0.3333333333333333,0.0,0.6666666666666666,0.5,0.6666666666666666,0.0,0.6666666666666667,0.3333333333333333,0.9950248756218905,0.75,0.6014388489208633,0.2608695652173913,0.23076923076923078,0.0,0.0,0.0,0.0,0.0,0.9999999999999999,0.5,0.499638110354233
0.17647058823529413,0.2715654952076677,0.11256137515481031,0.375,0.4285714285714285,0.8759689922480618,0.75,0.0,0.43160377358490565,0.0,0.030174446016030174,0.24828446662507797,0.1716203259827421,0.35133457479826197,0.0,0.3352685050798258,0.3333333333333333,0.0,0.3333333333333333,0.5,0.16666666666666666,0.0,0.22222222222222227,0.0,0.9915422885572138,0.5,0.34532374100719426,0.05434782608695652,0.08241758241758243,0.0,0.6299212598425197,0.0,0.0,0.04516129032258065,0.8181818181818182,0.75,0.25062079783285124
0.0,0.23961661341853036,0.0771548278860596,0.75,0.4285714285714285,0.9612403100775193,0.9166666666666643,0.11625,0.8071933962264151,0.0,0.14945780292314945,0.5258889582033687,0.6021093000958773,0.0,0.0,0.4557329462989841,0.3333333333333333,0.0,0.6666666666666666,0.0,0.5,0.0,0.44444444444444436,0.3333333333333333,0.9970149253731343,0.5,0.45755395683453237,0.34646739130434784,0.1565934065934066,0.0,0.0,0.0,0.0,0.0,0.6363636363636364,0.25,0.6322921927254364
0.17647058823529413,0.16293929712460065,0.04233677941835238,0.625,0.4285714285714285,0.39534883720930303,0.0,0.0,0.0,0.0,0.44884488448844884,0.29694323144104806,0.2799616490891659,0.46679081315952825,0.0,0.4847605224963716,0.0,0.0,0.6666666666666666,0.0,0.3333333333333333,1.0,0.5555555555555556,0.6666666666666666,0.9606965174129353,0.5,0.3366906474820144,0.12228260869565218,0.0,0.6212121212121212,0.0,0.0,0.0,0.0,0.2727272727272727,0.5,0.22013363153350446
1.0,0.1597444089456869,0.053755412871434975,0.375,0.5714285714285714,0.45736434108527213,0.0,0.0,0.5017688679245282,0.0,0.066006600660066,0.30910792264504056,0.3063279002876319,0.0,0.0,0.2318577648766328,0.3333333333333333,0.0,0.3333333333333333,0.0,0.3333333333333333,1.0,0.22222222222222227,0.6666666666666666,0.9646766169154228,0.25,0.1474820143884892,0.0,0.01098901098901099,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.192439182757762
0.0,0.22364217252396165,0.08695728552732127,0.375,0.4285714285714285,0.6589147286821717,0.25,0.0,0.5341981132075472,0.0,0.06317774634606317,0.32439176543980036,0.28859060402684567,0.0,0.0,0.21843251088534105,0.3333333333333333,0.0,0.3333333333333333,0.0,0.5,0.0,0.22222222222222227,0.0,0.9776119402985074,0.25,0.2762589928057554,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09090909090909091,0.5,0.21920272569230304
